_id,userId,action,details,createdAt,updatedAt,__v
6a145beadd77221362b99696,6a145beadd77221362b99694,register,Account created,2026-05-25T14:25:46.432Z,2026-05-25T14:25:46.432Z,0
6a145cc4dd77221362b996a5,6a145cc4dd77221362b996a3,register,Account created,2026-05-25T14:29:24.938Z,2026-05-25T14:29:24.938Z,0
6a145db4cc3f8ec6f49201b2,6a145cc4dd77221362b996a3,create_expense,Created expense: lunch,2026-05-25T14:33:24.671Z,2026-05-25T14:33:24.671Z,0
6a145ee1cc3f8ec6f49201bc,6a145beadd77221362b99694,login,User logged in,2026-05-25T14:38:25.528Z,2026-05-25T14:38:25.528Z,0
6a145ef7cc3f8ec6f49201c8,6a145beadd77221362b99694,create_expense,Created expense: jj,2026-05-25T14:38:47.204Z,2026-05-25T14:38:47.204Z,0
6a145f6acc3f8ec6f49201dc,6a145beadd77221362b99694,login,User logged in,2026-05-25T14:40:42.827Z,2026-05-25T14:40:42.827Z,0
6a14f85ecc3f8ec6f49201eb,6a145beadd77221362b99694,login,User logged in,2026-05-26T01:33:18.286Z,2026-05-26T01:33:18.286Z,0
6a14f905cc3f8ec6f49201ff,6a145beadd77221362b99694,login,User logged in,2026-05-26T01:36:05.036Z,2026-05-26T01:36:05.036Z,0
6a15ad11d98fe945908d2882,6a145beadd77221362b99694,logout,User logged out,2026-05-26T14:24:17.066Z,2026-05-26T14:24:17.066Z,0
6a15ad21d98fe945908d2887,6a15ad21d98fe945908d2885,register,Account created,2026-05-26T14:24:33.602Z,2026-05-26T14:24:33.602Z,0
6a15ad72d98fe945908d28ad,6a15ad21d98fe945908d2885,logout,User logged out,2026-05-26T14:25:54.630Z,2026-05-26T14:25:54.630Z,0
6a15ad7cd98fe945908d28b0,6a15ad21d98fe945908d2885,login,User logged in,2026-05-26T14:26:04.385Z,2026-05-26T14:26:04.385Z,0
6a15b0b6d98fe945908d28be,6a15ad21d98fe945908d2885,logout,User logged out,2026-05-26T14:39:50.189Z,2026-05-26T14:39:50.189Z,0
6a15b0c4d98fe945908d28c1,6a145beadd77221362b99694,login,User logged in,2026-05-26T14:40:04.070Z,2026-05-26T14:40:04.070Z,0
6a15b15ad98fe945908d28cc,6a145beadd77221362b99694,update_expense,Updated expense: grocery,2026-05-26T14:42:34.167Z,2026-05-26T14:42:34.167Z,0
6a15b16cd98fe945908d28d2,6a145beadd77221362b99694,create_expense,Created expense: coffe,2026-05-26T14:42:52.755Z,2026-05-26T14:42:52.755Z,0
6a15b184d98fe945908d28d7,6a145beadd77221362b99694,update_expense,Updated expense: netflix,2026-05-26T14:43:16.572Z,2026-05-26T14:43:16.572Z,0
6a15b1a4d98fe945908d28dd,6a145beadd77221362b99694,create_expense,Created expense: opal,2026-05-26T14:43:48.834Z,2026-05-26T14:43:48.834Z,0
6a15b1b5d98fe945908d28e3,6a145beadd77221362b99694,create_expense,Created expense: water bill,2026-05-26T14:44:05.167Z,2026-05-26T14:44:05.167Z,0
6a15b1d8d98fe945908d28e9,6a145beadd77221362b99694,create_expense,Created expense: flight,2026-05-26T14:44:40.464Z,2026-05-26T14:44:40.464Z,0
6a15b1ead98fe945908d28ef,6a145beadd77221362b99694,create_expense,Created expense: gym,2026-05-26T14:44:58.161Z,2026-05-26T14:44:58.161Z,0
6a164134d98fe945908d2934,6a145beadd77221362b99694,logout,User logged out,2026-05-27T00:56:20.213Z,2026-05-27T00:56:20.213Z,0
6a16413dd98fe945908d2937,6a15ad21d98fe945908d2885,login,User logged in,2026-05-27T00:56:29.928Z,2026-05-27T00:56:29.928Z,0
6a1641c0d98fe945908d2941,6a15ad21d98fe945908d2885,logout,User logged out,2026-05-27T00:58:40.690Z,2026-05-27T00:58:40.690Z,0
6a1641d4d98fe945908d2945,6a145beadd77221362b99694,login,User logged in,2026-05-27T00:59:00.933Z,2026-05-27T00:59:00.933Z,0
